TS:  30, skip: 1, cv: 1, model: LSTM , sensor: RR, classes: 2, BatchSize:  32, Val Accuracy: 0.54504505, Accuracy: 0.52238806, f1: 0.50915751, precision: 0.51890574, recall: 0.51729778 
TS:  30, skip: 1, cv: 1, model: BiLSTM, sensor: RR, classes: 2, BatchSize:  32, Val Accuracy: 0.55855856, Accuracy: 0.50248756, f1: 0.49191102, precision: 0.50906678, recall: 0.50812847 
TS:  30, skip: 1, cv: 1, model: TCN+LSTM, sensor: RR, classes: 2, BatchSize:  32, Val Accuracy: 0.52702703, Accuracy: 0.49751244, f1: 0.49731336, precision: 0.49742574, recall: 0.49742268 
TS:  30, skip: 1, cv: 1, model: TCN  , sensor: HR, classes: 2, BatchSize:  32, Val Accuracy: 0.60360360, Accuracy: 0.48756219, f1: 0.41213051, precision: 0.45460429, recall: 0.47566416 
TS:  30, skip: 1, cv: 1, model: LSTM , sensor: HR, classes: 2, BatchSize:  32, Val Accuracy: 0.59459459, Accuracy: 0.47761194, f1: 0.47761194, precision: 0.47819191, recall: 0.47819191 
TS:  30, skip: 1, cv: 1, model: BiLSTM, sensor: HR, classes: 2, BatchSize:  32, Val Accuracy: 0.59009009, Accuracy: 0.46268657, f1: 0.46235387, precision: 0.46241830, recall: 0.46238105 
TS:  30, skip: 1, cv: 1, model: TCN+LSTM, sensor: HR, classes: 2, BatchSize:  32, Val Accuracy: 0.55855856, Accuracy: 0.57213930, f1: 0.53751070, precision: 0.58572771, recall: 0.56329302 
TS:  30, skip: 1, cv: 1, model: TCN  , sensor: All, classes: 2, BatchSize:  32, Val Accuracy: 0.64864865, Accuracy: 0.63681592, f1: 0.63677996, precision: 0.63818272, recall: 0.63793616 
TS:  30, skip: 1, cv: 1, model: LSTM , sensor: All, classes: 2, BatchSize:  32, Val Accuracy: 0.61711712, Accuracy: 0.49751244, f1: 0.49706429, precision: 0.49915085, recall: 0.49915741 
TS:  30, skip: 1, cv: 1, model: BiLSTM, sensor: All, classes: 2, BatchSize:  32, Val Accuracy: 0.63513514, Accuracy: 0.55223881, f1: 0.55196156, precision: 0.55409852, recall: 0.55377676 
