TS:  32, skip: 1, model: LSTM , sensor: HR_frame32_skip1, classes: 2, BatchSize: 256, Accuracy: 0.58640945, f1: 0.41656243, precision: 0.49179276, recall: 0.49804000 
TS:  32, skip: 1, model: BiLSTM, sensor: HR_frame32_skip1, classes: 2, BatchSize: 256, Accuracy: 0.60176223, f1: 0.37911982, precision: 0.72374560, recall: 0.50161594 
TS:  32, skip: 1, model: TCN  , sensor: RR_frame32_skip1, classes: 2, BatchSize: 256, Accuracy: 0.61698151, f1: 0.59965019, precision: 0.59998231, recall: 0.59938030 
TS:  32, skip: 1, model: LSTM , sensor: RR_frame32_skip1, classes: 2, BatchSize: 256, Accuracy: 0.60650157, f1: 0.43378683, precision: 0.58516507, recall: 0.51630681 
TS:  32, skip: 1, model: BiLSTM, sensor: RR_frame32_skip1, classes: 2, BatchSize: 256, Accuracy: 0.62432414, f1: 0.60813478, precision: 0.60823571, recall: 0.60803982 
TS:  32, skip: 1, model: TCN  , sensor: GSR_frame32_skip1, classes: 2, BatchSize: 256, Accuracy: 0.59915893, f1: 0.53639922, precision: 0.56355965, recall: 0.54729789 
TS:  32, skip: 1, model: LSTM , sensor: GSR_frame32_skip1, classes: 2, BatchSize: 256, Accuracy: 0.55930846, f1: 0.54776958, precision: 0.54808056, recall: 0.54940555 
TS:  32, skip: 1, model: BiLSTM, sensor: GSR_frame32_skip1, classes: 2, BatchSize: 256, Accuracy: 0.58320539, f1: 0.55322077, precision: 0.55706161, recall: 0.55349120 
TS:  32, skip: 1, model: TCN  , sensor: Temp_frame32_skip1, classes: 2, BatchSize: 256, Accuracy: 0.51198184, f1: 0.49936761, precision: 0.50028574, recall: 0.50029375 
TS:  32, skip: 1, model: LSTM , sensor: Temp_frame32_skip1, classes: 2, BatchSize: 256, Accuracy: 0.60056071, f1: 0.37521895, precision: 0.30028036, recall: 0.50000000 
TS:  32, skip: 1, model: BiLSTM, sensor: Temp_frame32_skip1, classes: 2, BatchSize: 256, Accuracy: 0.60056071, f1: 0.37521895, precision: 0.30028036, recall: 0.50000000 
TS:  64, skip: 1, model: TCN  , sensor: All_frame64_skip1, classes: 2, BatchSize: 256, Accuracy: 0.52560148, f1: 0.50390453, precision: 0.50857127, recall: 0.50934092 
TS:  64, skip: 1, model: LSTM , sensor: All_frame64_skip1, classes: 2, BatchSize: 256, Accuracy: 0.65206663, f1: 0.40137503, precision: 0.53017167, recall: 0.50080306 
TS:  64, skip: 1, model: BiLSTM, sensor: All_frame64_skip1, classes: 2, BatchSize: 256, Accuracy: 0.63777504, f1: 0.42765899, precision: 0.49483267, recall: 0.49897217 
TS:  64, skip: 1, model: TCN  , sensor: HR_frame64_skip1, classes: 2, BatchSize: 256, Accuracy: 0.62625951, f1: 0.50717268, precision: 0.54166667, recall: 0.52492395 
TS:  64, skip: 1, model: LSTM , sensor: HR_frame64_skip1, classes: 2, BatchSize: 256, Accuracy: 0.65319761, f1: 0.39511164, precision: 0.32659881, recall: 0.50000000 
TS:  64, skip: 1, model: BiLSTM, sensor: HR_frame64_skip1, classes: 2, BatchSize: 256, Accuracy: 0.50246761, f1: 0.47835673, precision: 0.48327910, recall: 0.48182860 
TS:  64, skip: 1, model: TCN  , sensor: RR_frame64_skip1, classes: 2, BatchSize: 256, Accuracy: 0.58924532, f1: 0.57647294, precision: 0.58311547, recall: 0.59157298 
TS:  64, skip: 1, model: LSTM , sensor: RR_frame64_skip1, classes: 2, BatchSize: 256, Accuracy: 0.65319761, f1: 0.39511164, precision: 0.32659881, recall: 0.50000000 
