TS:  30, skip: 1, cv: 1, model: LSTM , sensor: RR, classes: 2, BatchSize:  32, Val Accuracy: 0.54954955, Accuracy: 0.50746269, f1: 0.49908118, precision: 0.51375948, recall: 0.51258921 
TS:  30, skip: 1, cv: 1, model: BiLSTM, sensor: RR, classes: 2, BatchSize:  32, Val Accuracy: 0.54504505, Accuracy: 0.52238806, f1: 0.47393675, precision: 0.55707071, recall: 0.53360428 
TS:  30, skip: 1, cv: 1, model: TCN+LSTM, sensor: RR, classes: 2, BatchSize:  32, Val Accuracy: 0.48648649, Accuracy: 0.49751244, f1: 0.49248769, precision: 0.50167574, recall: 0.50158604 
TS:  30, skip: 1, cv: 1, model: TCN  , sensor: HR, classes: 2, BatchSize:  32, Val Accuracy: 0.60360360, Accuracy: 0.61194030, f1: 0.58742105, precision: 0.63088418, recall: 0.60418319 
TS:  30, skip: 1, cv: 1, model: LSTM , sensor: HR, classes: 2, BatchSize:  32, Val Accuracy: 0.59459459, Accuracy: 0.43283582, f1: 0.42772228, precision: 0.43339587, recall: 0.43665741 
TS:  30, skip: 1, cv: 1, model: BiLSTM, sensor: HR, classes: 2, BatchSize:  32, Val Accuracy: 0.60360360, Accuracy: 0.45273632, f1: 0.45272277, precision: 0.45342262, recall: 0.45345956 
TS:  30, skip: 1, cv: 1, model: TCN+LSTM, sensor: HR, classes: 2, BatchSize:  32, Val Accuracy: 0.50450450, Accuracy: 0.53731343, f1: 0.40057720, precision: 0.63924870, recall: 0.52131245 
TS:  30, skip: 1, cv: 1, model: TCN  , sensor: All, classes: 2, BatchSize:  32, Val Accuracy: 0.66216216, Accuracy: 0.63681592, f1: 0.63623968, precision: 0.63630952, recall: 0.63620143 
TS:  30, skip: 1, cv: 1, model: LSTM , sensor: All, classes: 2, BatchSize:  32, Val Accuracy: 0.62612613, Accuracy: 0.65174129, f1: 0.65166370, precision: 0.65183168, recall: 0.65201229 
TS:  30, skip: 1, cv: 1, model: BiLSTM, sensor: All, classes: 2, BatchSize:  32, Val Accuracy: 0.63063063, Accuracy: 0.56218905, f1: 0.56217822, precision: 0.56309524, recall: 0.56304520 
